,Date,Place,Title,Band,Open,Start
15,2018-08-18,梅田Zeela,在るべき邂逅,"['ケセナイナニカ', 'iNtElogiQ', 'ABSTRACTION(Acoustic ver.)', 'My Girl(Acoustic ver.)', 'ヒラカワリョウ', 'カムラ ミカウ', '徳永由希', '隔たりと、吐露。', 'シロノゼロ', 'MARK MY WORDS']",00:00:00,00:00:00
16,2018-08-19,梅田Zeela,LIVE SHOWER 2018,"['極東ブレインズ', 'Hongo☆REV-O-lution', '聖飢魔茶', 'TRUERIES', 'BLOOD BELLBURN', 'TCS']",16:00:00,16:30:00
17,2018-08-20,梅田Zeela,大阪電気通信大学 文化会軽音楽部 前期定期演奏会,"['水溜りボンド', 'エスカルゴズ', 'KMR41', 'ウエシマム ザ ホルモン', 'ポルノグラビィティ', 'GAME BOOWY advance', 'THE COLA CIGARETTES', 'RADOWINPS', 'きりん組', 'こっさん事故リティー']",12:30:00,13:00:00
18,2018-08-21,梅田Zeela,TSUBAZERIAI vol.5〜Ready at Dawn×AttractCrowd Wレコ発ツアー「八鬼夜行」〜,"['Ready at Dawn', 'AttractCrowd', 'MEET ME SATURDAY', 'ATLAS MEMORY', 'キミのエソラゴト']",18:00:00,18:30:00
19,2018-08-22,梅田Zeela,HORIZIC 2nd mini album「天才じゃなかった君へ」リリースツアーファイナル&3rd mini album「それでも信じる君へ」レコ発 聖戦記〜グレートウォー〜(大阪編),"['HORIZIC', 'THE SALA', 'ヴォイスクラッカー', 'ハイライト', 'UNIQUE PROJECT', 'EmyFeelin’Good', 'aivolic', 'TAKA(GreenWorld)']",16:00:00,16:30:00
20,2018-08-23,梅田Zeela,Yullie-Echo 「Cooee」Tour,"['Yullie-Echo', 'ラパンテット', 'The 3 minutes']",17:00:00,17:30:00
21,2018-08-24,梅田Zeela,アイビーカラー tour 2018 “夏の魔法にかけられて”,"['アイビーカラー', 'Half time Old', 'LOCAL CONNECT', 'goodtimes']",18:00:00,18:30:00
22,2018-08-25,梅田Zeela,LIVE-G TOUR 2018 G&L～Additional Show Time～,['ぐるたみん'],18:00:00,18:30:00
23,2018-08-25,梅田Zeela,LIVE-G TOUR 2018 G&L ～そんなふいんきで歌ってみた～,['ぐるたみん'],14:30:00,15:00:00
24,2018-08-26,梅田Zeela,PRIVATE PARTY,['-----------------'],00:00:00,00:00:00
25,2018-08-26,梅田Zeela,音めきLIVE,"['群青のユリシーズ', 'Fiore', '悪魔少女ふぁうすと★～Faust～', 'JOY VAN CREW', '愛夢GLTOKYO', 'husky', '星影エトセトラ', 'Obento Idole', 'Bear in Mind', '堀江学院 ほか']",10:30:00,11:00:00
26,2018-08-27,梅田Zeela,梅田Zeela pre.UNDER GROUND FIGHT!!!!vol.3,"['カミツキ', 'CODE OF ZERO', 'ANIME GIRL', 'Any Doubt', 'LeeNAMO', 'Dicentra']",17:30:00,18:00:00
